Sensor,Occupancy,,Sensor,Occupancy,,,Sensor,Occupancy,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,73,77,376,Empty
1,calibrating,,2,calibrating,,,0,calibrating,,,,175,172,329,Occupied
1,calibrating,,2,calibrating,,,0,calibrating,,,,22,27,130,Uncertain
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,1,,2,0,,171,0,1,15:51,2,,,,,
1,1,,2,0,,172,0,1,15:52,2,,,,,
1,1,,2,0,,173,0,1,15:53,2,,,,,
1,1,,2,0,,174,0,1,15:54,2,,,,,
1,1,,2,0,,175,0,1,15:55,2,,,,,
1,1,,2,0,,176,0,1,15:56,2,,,,,
1,1,,2,0,,177,0,1,15:57,2,,,,,
1,1,,2,0,,178,0,1,15:58,2,,,,,
1,1,,2,1,,179,0,1,15:59,3,,,,,
1,1,,2,1,,180,0,1,16:00,3,,,,,
1,1,,2,1,,181,0,1,16:01,3,,,,,
1,1,,2,1,,182,0,1,16:02,3,,,,,
1,1,,2,1,,183,0,1,16:03,3,,,,,
1,1,,2,1,,184,0,1,16:04,3,,,,,
1,1,,2,1,,185,0,1,16:05,3,,,,,
1,1,,2,1,,186,0,1,16:06,3,,,,,
1,1,,2,1,,187,0,1,16:07,3,,,,,
1,1,,2,1,,188,0,1,16:08,3,,,,,
1,1,,2,1,,189,0,1,16:09,3,,,,,
1,1,,2,1,,190,0,1,16:10,3,,,,,
1,1,,2,1,,191,0,1,16:11,3,,,,,
1,1,,2,1,,192,0,1,16:12,3,,,,,
1,1,,2,1,,193,0,1,16:13,3,,,,,
1,1,,2,1,,194,0,1,16:14,3,,,,,
1,1,,2,1,,195,0,1,16:15,3,,,,,
1,1,,2,1,,196,0,1,16:16,3,,,,,
1,1,,2,1,,197,0,1,16:17,3,,,,,
1,1,,2,1,,198,0,1,16:18,3,,,,,
1,1,,2,1,,199,0,1,16:19,3,,,,,
1,1,,2,1,,200,0,1,16:20,3,,,,,
1,1,,2,1,,201,0,1,16:21,3,,,,,
1,1,,2,1,,202,0,1,16:22,3,,,,,
1,1,,2,1,,203,0,1,16:23,3,,,,,
1,1,,2,1,,204,0,1,16:24,3,,,,,
1,1,,2,1,,205,0,1,16:25,3,,,,,
1,1,,2,1,,206,0,1,16:26,3,,,,,
1,1,,2,1,,207,0,1,16:27,3,,,,,
1,1,,2,1,,208,0,1,16:28,3,,,,,
1,1,,2,1,,209,0,1,16:29,3,,,,,
1,1,,2,1,,210,0,1,16:30,3,,,,,
1,1,,2,1,,211,0,1,16:31,3,,,,,
1,1,,2,1,,212,0,1,16:32,3,,,,,
1,1,,2,1,,213,0,1,16:33,3,,,,,
1,1,,2,1,,214,0,1,16:34,3,,,,,
1,1,,2,1,,215,0,1,16:35,3,,,,,
1,1,,2,1,,216,0,1,16:36,3,,,,,
1,1,,2,1,,217,0,1,16:37,3,,,,,
1,1,,2,1,,218,0,1,16:38,3,,,,,
1,1,,2,1,,219,0,1,16:39,3,,,,,
1,1,,2,1,,220,0,1,16:40,3,,,,,
1,1,,2,1,,221,0,1,16:41,3,,,,,
1,1,,2,1,,222,0,1,16:42,3,,,,,
1,1,,2,1,,223,0,1,16:43,3,,,,,
1,1,,2,1,,224,0,1,16:44,3,,,,,
1,1,,2,1,,225,0,1,16:45,3,,,,,
1,1,,2,1,,226,0,1,16:46,3,,,,,
1,1,,2,1,,227,0,1,16:47,3,,,,,
1,1,,2,1,,228,0,1,16:48,3,,,,,
1,1,,2,1,,229,0,1,16:49,3,,,,,
1,1,,2,1,,230,0,1,16:50,3,,,,,
1,1,,2,1,,231,0,1,16:51,3,,,,,
1,1,,2,1,,232,0,1,16:52,3,,,,,
1,1,,2,1,,233,0,1,16:53,3,,,,,
1,1,,2,1,,234,0,1,16:54,3,,,,,
1,1,,2,1,,235,0,1,16:55,3,,,,,
1,1,,2,1,,236,0,1,16:56,3,,,,,
1,1,,2,1,,237,0,1,16:57,3,,,,,
1,1,,2,1,,238,0,1,16:58,3,,,,,
1,1,,2,1,,239,0,1,16:59,3,,,,,
1,1,,2,1,,240,0,1,17:00,3,,,,,
1,1,,2,1,,241,0,1,17:01,3,,,,,
1,1,,2,1,,242,0,1,17:02,3,,,,,
1,1,,2,1,,243,0,1,17:03,3,,,,,
1,1,,2,1,,244,0,1,17:04,3,,,,,
1,1,,2,1,,245,0,1,17:05,3,,,,,
1,0,,2,1,,246,0,1,17:06,2,,,,,
1,1,,2,1,,247,0,1,17:07,3,,,,,
1,0,,2,1,,248,0,1,17:08,2,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
